nom;millesime;region;couleur;domaine
Agneau;;Bordeaux;Blanc;Sélection
St Emilion Puisseguin;2009;Bordeaux;?;Sélection
Cote de Bourg Cadet;;Bordeaux;?;Sélection
Médoc;;Bordeaux;?;Sélection
Graves du Bouscaut;;Bordeaux;?;Sélection
St Emilion Grand Cru;;Bordeaux;?;Sélection
St Emilion Grand Cru;;Bordeaux;?;Sélection
Les Hauts de Tertre Margaux ;2011;Bordeaux;Rouge;Sélection Grands Crus
Les Hauts de Tertre Margaux ;2010;Bordeaux;Rouge;Sélection Grands Crus
Château Cadet Piola Saint-Emilion Grand Cru;2007;Bordeaux;Rouge;Sélection Grands Crus
Château Cadet Piola Saint-Emilion Grand Cru;2011;Bordeaux;Rouge;Sélection Grands Crus
Château Rieussec Sauternes;1998;Bordeaux;Blanc;Sélection Grands Crus
Château Giscours Margaux;2010;Bordeaux;Rouge;Sélection Grands Crus
Château Ducru Beaucaillou Saint-Julien;2004;Bordeaux;Rouge;Sélection Grands Crus
Chateau de Pez  St Estephe ;2010;Bordeaux;Rouge;Sélection Grands Crus
Chateau de Pez  St Estephe ;2010;Bordeaux;Rouge;Sélection Grands Crus
Château  Fieuzal   Pessac- Leognan ;2011;Bordeaux;Rouge;Sélection Grands Crus
Chateau L'Evangile Pomerol  ;2001;Bordeaux;Rouge;Sélection Grands Crus
Château Lynch Bages Pauillac;2005;Bordeaux;Rouge;Sélection Grands Crus
Chateau Lagrange    St Julien;2011;Bordeaux;Rouge;Sélection Grands Crus
Château Grand Puy Lacoste Pauillac ;2005;Bordeaux;Rouge;Sélection Grands Crus
Vigne Antique   IGP OC Merlot;;Languedoc Roussillon;Rouge;Sélection
Vigne Antique  IGP OC Cinsault;;Languedoc Roussillon;Rosé;Sélection
Vigne Antique    IGP OC Chardonnay;;Languedoc Roussillon;Blanc;Sélection
Secret de Lunes Pinot Noir  IGP OC BIO;;Languedoc Roussillon;Rouge;Sélection
Secret de Lunes Chardonnay  IGP OC BIO;;Languedoc Roussillon;Blanc;Sélection
Cotes Roussillon Homage (Cazes Advini);;Languedoc Roussillon;Rouge;Sélection
Picpoul de pinet AOC Carte noire AOC ;2014;Languedoc Roussillon;?;Sélection
Bardolino Donna Lorenza AOC ;2010;Italie;Rouge;Sélection
Chianti Donna Lorenza;2011;Italie;Rouge;Sélection
Gallo Family Vineyards Zinfandel;;USA;Rosé;Sélection
Gallo Family Vineyards Chardonnay;;USA;Blanc;Sélection
Anderra;;Chili;Rouge;Sélection
Rioja Torres Ibericos;;Espagne;Rouge;Sélection
St Charles du Roy Brut;;Loire;Pétillant;Sélection
Grandin Brut;;Loire;Pétillant;Sélection
Prosecco Astoria Extra dry;;Italie;Pétillant;Sélection
Le Brun de Neuville Sélection Brut;;Champagne;Champagne;Sélection
